block,attribute,type,source,selector,enum,default,role
blocksy/about-me,style,object,,,,,
blocksy/about-me,lock,object,,,,,
blocksy/about-me,metadata,object,,,,,
blocksy/about-me,className,string,,,,,
blocksy/breadcrumbs,style,object,,,,,
blocksy/breadcrumbs,textColor,string,,,,,
blocksy/breadcrumbs,customTextColor,string,,,,,
blocksy/breadcrumbs,linkColor,string,,,,,
blocksy/breadcrumbs,customLinkColor,string,,,,,
blocksy/breadcrumbs,linkHoverColor,string,,,,,
blocksy/breadcrumbs,customLinkHoverColor,string,,,,,
blocksy/breadcrumbs,lock,object,,,,,
blocksy/breadcrumbs,metadata,object,,,,,
blocksy/breadcrumbs,className,string,,,,,
blocksy/contact-info,style,object,,,,,
blocksy/contact-info,lock,object,,,,,
blocksy/contact-info,metadata,object,,,,,
blocksy/contact-info,className,string,,,,,
blocksy/contact-info,fontSize,string,,,,,
blocksy/dynamic-data,tagName,string,,,,div,
blocksy/dynamic-data,field,string,,,,wp:title,
blocksy/dynamic-data,has_archive_prefix,string,,,,no,
blocksy/dynamic-data,has_field_link,string,,,,no,
blocksy/dynamic-data,has_field_link_wrap_content,string,,,,no,
blocksy/dynamic-data,link_source,string,,,,,
blocksy/dynamic-data,before,string,,,,,
blocksy/dynamic-data,after,string,,,,,
blocksy/dynamic-data,fallback,string,,,,,
blocksy/dynamic-data,align,string,,,,,
blocksy/dynamic-data,imageAlign,string,,,,,
blocksy/dynamic-data,aspectRatio,string,,,,auto,
blocksy/dynamic-data,imageFit,string,,,,cover,
blocksy/dynamic-data,width,string,,,,,
blocksy/dynamic-data,height,string,,,,,
blocksy/dynamic-data,sizeSlug,string,,,,,
blocksy/dynamic-data,alt_text,string,,,,,
blocksy/dynamic-data,avatar_size,number,,,,96,
blocksy/dynamic-data,avatarIsLink,boolean,,,,false,
blocksy/dynamic-data,avatarLinkTarget,string,,,,_self,
blocksy/dynamic-data,featuredIsLink,boolean,,,,false,
blocksy/dynamic-data,featuredLinkTarget,string,,,,_self,
blocksy/dynamic-data,taxonomy,string,,,,,
blocksy/dynamic-data,attribute,string,,,,,
blocksy/dynamic-data,lightbox,string,,,,no,
blocksy/dynamic-data,videoThumbnail,string,,,,no,
blocksy/dynamic-data,has_image_caption,string,,,,no,
blocksy/dynamic-data,image_hover_effect,string,,,,none,
blocksy/dynamic-data,termClass,string,,,,,
blocksy/dynamic-data,termAccentColor,string,,,,yes,
blocksy/dynamic-data,brands_size,number,,,,100,
blocksy/dynamic-data,brands_gap,number,,,,10,
blocksy/dynamic-data,imageSource,string,,,,featured,
blocksy/dynamic-data,viewType,string,,,,default,
blocksy/dynamic-data,backgroundColor,string,,,,,
blocksy/dynamic-data,textColor,string,,,,,
blocksy/dynamic-data,dimRatio,number,,,,50,
blocksy/dynamic-data,style,object,,,,"{""elements"": {""overlay"": {""color"": {""background"": ""#000000""}}}}",
blocksy/dynamic-data,lock,object,,,,,
blocksy/dynamic-data,metadata,object,,,,,
blocksy/dynamic-data,className,string,,,,,
blocksy/dynamic-data,fontSize,string,,,,,
blocksy/dynamic-data,fontFamily,string,,,,,
blocksy/dynamic-data,borderColor,string,,,,,
blocksy/post-template,tabletColumns,number,,,,2,
blocksy/post-template,mobileColumns,number,,,,1,
blocksy/post-template,verticalAlignment,string,,,,,
blocksy/post-template,layout,object,,,,,
blocksy/post-template,has_item_link,string,,,,no,
blocksy/post-template,lock,object,,,,,
blocksy/post-template,metadata,object,,,,,
blocksy/post-template,className,string,,,,,
blocksy/post-template,style,object,,,,,
blocksy/query,uniqueId,string,,,,,
blocksy/query,type,string,,,,post,
blocksy/query,post_type,string,,,,post,
blocksy/query,limit,number,,,,5,
blocksy/query,include_term_ids,object,,,,[],
blocksy/query,exclude_term_ids,object,,,,[],
blocksy/query,include_post_ids,object,,,,"{""ids"": [], ""current_post"": false}",
blocksy/query,exclude_post_ids,object,,,,"{""ids"": [], ""current_post"": false}",
blocksy/query,order,string,,,,desc,
blocksy/query,orderby,string,,,,post_date,
blocksy/query,orderby_custom,string,,,,,
blocksy/query,offset,number,,,,0,
blocksy/query,design,string,,,,,
blocksy/query,has_pagination,string,,,,no,
blocksy/query,textColor,string,,,,,
blocksy/query,customTextColor,string,,,,,
blocksy/query,linkColor,string,,,,,
blocksy/query,customLinkColor,string,,,,,
blocksy/query,linkHoverColor,string,,,,,
blocksy/query,customLinkHoverColor,string,,,,,
blocksy/query,sticky_posts,string,,,,include,
blocksy/query,has_slideshow,string,,,,no,
blocksy/query,has_slideshow_arrows,string,,,,yes,
blocksy/query,has_slideshow_pills,string,,,,no,
blocksy/query,has_slideshow_autoplay,string,,,,no,
blocksy/query,has_slideshow_autoplay_speed,number,,,,3,
blocksy/query,lock,object,,,,,
blocksy/query,metadata,object,,,,,
blocksy/query,align,string,,,left|center|right|wide|full|,,
blocksy/query,className,string,,,,,
blocksy/query,style,object,,,,,
blocksy/query,backgroundColor,string,,,,,
blocksy/query,gradient,string,,,,,
blocksy/query,borderColor,string,,,,,
blocksy/quote,lock,object,,,,,
blocksy/quote,metadata,object,,,,,
blocksy/quote,className,string,,,,,
blocksy/quote,style,object,,,,,
blocksy/search,style,object,,,,,
blocksy/search,lock,object,,,,,
blocksy/search,metadata,object,,,,,
blocksy/search,className,string,,,,,
blocksy/share-box,style,object,,,,,
blocksy/share-box,lock,object,,,,,
blocksy/share-box,metadata,object,,,,,
blocksy/share-box,className,string,,,,,
blocksy/socials,style,object,,,,,
blocksy/socials,lock,object,,,,,
blocksy/socials,metadata,object,,,,,
blocksy/socials,className,string,,,,,
blocksy/tax-query,uniqueId,string,,,,,
blocksy/tax-query,taxonomy,string,,,,category,
blocksy/tax-query,level,string,,,,all,
blocksy/tax-query,limit,number,,,,5,
blocksy/tax-query,hide_empty,string,,,,yes,
blocksy/tax-query,include_term_ids,object,,,,[],
blocksy/tax-query,exclude_term_ids,object,,,,[],
blocksy/tax-query,order,string,,,,desc,
blocksy/tax-query,orderby,string,,,,none,
blocksy/tax-query,offset,number,,,,0,
blocksy/tax-query,design,string,,,,,
blocksy/tax-query,textColor,string,,,,,
blocksy/tax-query,customTextColor,string,,,,,
blocksy/tax-query,linkColor,string,,,,,
blocksy/tax-query,customLinkColor,string,,,,,
blocksy/tax-query,linkHoverColor,string,,,,,
blocksy/tax-query,customLinkHoverColor,string,,,,,
blocksy/tax-query,has_slideshow,string,,,,no,
blocksy/tax-query,has_slideshow_arrows,string,,,,yes,
blocksy/tax-query,has_slideshow_pills,string,,,,no,
blocksy/tax-query,has_slideshow_autoplay,string,,,,no,
