name,title,category,dynamic,api_version,parent,ancestor,attrs,variations,styles,namespace,render_verdict
blocksy/about-me,,,yes,3,,,4,0,0,blocksy,
blocksy/breadcrumbs,,blocksy-blocks,yes,3,,,10,0,0,blocksy,
blocksy/contact-info,,,yes,3,,,5,0,0,blocksy,
blocksy/dynamic-data,,blocksy-blocks,yes,3,,,44,0,0,blocksy,
blocksy/post-template,文章範本,theme,yes,3,blocksy/query,,9,0,0,blocksy,
blocksy/query,,blocksy-blocks,yes,3,,,34,0,0,blocksy,
blocksy/quote,,,yes,1,,,4,0,0,blocksy,
blocksy/search,,,yes,3,,,4,0,0,blocksy,
blocksy/share-box,,,yes,3,,,4,0,0,blocksy,
blocksy/socials,,,yes,3,,,4,0,0,blocksy,
blocksy/tax-query,,blocksy-blocks,yes,3,,,31,0,0,blocksy,
blocksy/tax-template,Tax Template,theme,yes,3,blocksy/tax-query,,9,0,0,blocksy,
blocksy/widgets-wrapper,,,yes,3,,,4,0,0,blocksy,
core/accordion,開闔式內容,design,yes,3,,,19,0,0,core,
core/accordion-heading,開闔式內容標題,design,no,3,core/accordion-item,,16,0,0,core,
core/accordion-item,開闔式內容項目,design,yes,3,core/accordion,,12,0,0,core,
core/accordion-panel,開闔式內容面板,design,no,3,core/accordion-item,,12,0,0,core,
core/archives,彙整,widgets,yes,3,,,16,0,0,core,
core/audio,音訊,media,no,3,,,13,0,0,core,
core/avatar,個人頭像,theme,yes,3,,,11,0,0,core,
core/block,區塊版面配置,reusable,yes,3,,,4,0,0,core,
core/breadcrumbs,導覽標記,theme,yes,3,,,17,0,0,core,
core/button,按鈕,design,yes,3,core/buttons,,19,0,2,core,
core/buttons,按鈕組,design,no,3,,,12,0,0,core,
core/calendar,月曆,widgets,yes,3,,,12,0,0,core,
core/categories,分類法詞彙清單,widgets,yes,3,,,20,0,0,core,
core/code,程式碼,text,no,3,,,13,0,0,core,
core/column,單一欄位,design,no,3,core/columns,,15,0,0,core,
core/columns,多重欄位,design,no,3,,,16,0,0,core,
core/comment-author-name,留言者名稱,theme,yes,3,,core/comment-template,13,0,0,core,
core/comment-content,留言內容,theme,yes,3,,core/comment-template,11,0,0,core,
core/comment-date,留言日期,theme,yes,3,,core/comment-template,13,0,0,core,
core/comment-edit-link,留言編輯連結,theme,yes,3,,core/comment-template,11,0,0,core,
core/comment-reply-link,留言回覆連結,theme,yes,3,,core/comment-template,10,0,0,core,
core/comment-template,留言範本,design,yes,3,core/comments,,9,0,0,core,
core/comments,留言,theme,yes,3,,,14,0,0,core,
core/comments-pagination,留言分頁,theme,yes,3,core/comments,,13,0,0,core,
core/comments-pagination-next,留言頁面下一頁連結,theme,yes,3,core/comments-pagination,,10,0,0,core,
core/comments-pagination-numbers,留言分頁頁碼,theme,yes,3,core/comments-pagination,,9,0,0,core,
core/comments-pagination-previous,留言頁面上一頁連結,theme,yes,3,core/comments-pagination,,10,0,0,core,
core/comments-title,留言標題,theme,yes,3,,core/comments,16,0,0,core,
core/cover,封面,media,yes,3,,,34,0,0,core,
core/details,詳細資料,text,no,3,,,17,0,0,core,
core/embed,嵌入內容,embed,no,3,,,13,0,0,core,
core/file,檔案,media,yes,3,,,20,0,0,core,
core/footnotes,註腳,text,yes,3,,,10,0,0,core,
core/freeform,傳統編輯器,text,no,3,,,3,0,0,core,
core/gallery,圖庫,media,yes,3,,,25,0,0,core,
core/group,群組,design,no,3,,,16,0,0,core,
core/heading,標題,text,yes,3,,,16,0,0,core,
core/home-link,首頁連結,design,yes,3,core/navigation,,10,0,0,core,
core/html,自訂 HTML,widgets,no,3,,,3,0,0,core,
