kind,slug,value,name,origin,css_var
color,black,#000000,黑色,default,--wp--preset--color--black
color,cyan-bluish-gray,#abb8c3,青藍灰色,default,--wp--preset--color--cyan-bluish-gray
color,white,#ffffff,白色,default,--wp--preset--color--white
color,pale-pink,#f78da7,淡粉色,default,--wp--preset--color--pale-pink
color,vivid-red,#cf2e2e,鮮紅色,default,--wp--preset--color--vivid-red
color,luminous-vivid-orange,#ff6900,亮鮮橘色,default,--wp--preset--color--luminous-vivid-orange
color,luminous-vivid-amber,#fcb900,亮鮮琥珀色,default,--wp--preset--color--luminous-vivid-amber
color,light-green-cyan,#7bdcb5,亮綠青色,default,--wp--preset--color--light-green-cyan
color,vivid-green-cyan,#00d084,鮮綠青色,default,--wp--preset--color--vivid-green-cyan
color,pale-cyan-blue,#8ed1fc,淡青藍色,default,--wp--preset--color--pale-cyan-blue
color,vivid-cyan-blue,#0693e3,鮮青藍色,default,--wp--preset--color--vivid-cyan-blue
color,vivid-purple,#9b51e0,鮮紫色,default,--wp--preset--color--vivid-purple
color,palette-color-1,"var(--theme-palette-color-1, #ffd800)",色彩 1,theme,--wp--preset--color--palette-color-1
color,palette-color-2,"var(--theme-palette-color-2, #ffc900)",色彩 2,theme,--wp--preset--color--palette-color-2
color,palette-color-3,"var(--theme-palette-color-3, #5a5a5a)",色彩 3,theme,--wp--preset--color--palette-color-3
color,palette-color-4,"var(--theme-palette-color-4, #000000)",色彩 4,theme,--wp--preset--color--palette-color-4
color,palette-color-5,"var(--theme-palette-color-5, #edeff2)",色彩 5,theme,--wp--preset--color--palette-color-5
color,palette-color-6,"var(--theme-palette-color-6, #f9fafb)",色彩 6,theme,--wp--preset--color--palette-color-6
color,palette-color-7,"var(--theme-palette-color-7, #FDFDFD)",色彩 7,theme,--wp--preset--color--palette-color-7
color,palette-color-8,"var(--theme-palette-color-8, #ffffff)",色彩 8,theme,--wp--preset--color--palette-color-8
