block,style,label,is_default,class
core/button,fill,填色,yes,is-style-fill
core/button,outline,外框,no,is-style-outline
core/image,default,預設,yes,is-style-default
core/image,rounded,圓角,no,is-style-rounded
core/quote,default,預設,yes,is-style-default
core/quote,plain,一般,no,is-style-plain
core/separator,default,預設,yes,is-style-default
core/separator,wide,長線段,no,is-style-wide
core/separator,dots,點狀線段,no,is-style-dots
core/site-logo,default,預設,yes,is-style-default
core/site-logo,rounded,圓角,no,is-style-rounded
core/social-links,default,預設,yes,is-style-default
core/social-links,logos-only,只有標誌,no,is-style-logos-only
core/social-links,pill-shape,膠囊形狀,no,is-style-pill-shape
core/table,regular,預設,yes,is-style-regular
core/table,stripes,條紋,no,is-style-stripes
core/tag-cloud,default,預設,yes,is-style-default
core/tag-cloud,outline,外框,no,is-style-outline
woocommerce/mini-cart-cart-button-block,fill,填滿,no,is-style-fill
woocommerce/mini-cart-cart-button-block,outline,外框,yes,is-style-outline
woocommerce/mini-cart-checkout-button-block,fill,填滿,yes,is-style-fill
woocommerce/mini-cart-checkout-button-block,outline,外框,no,is-style-outline
woocommerce/mini-cart-shopping-button-block,fill,填滿,yes,is-style-fill
woocommerce/mini-cart-shopping-button-block,outline,外框,no,is-style-outline
woocommerce/product-button,fill,填滿,yes,is-style-fill
woocommerce/product-button,outline,外框,no,is-style-outline
