block,support,value
blocksy/about-me,html,false
blocksy/about-me,inserter,false
blocksy/about-me,lock,false
blocksy/breadcrumbs,className,false
blocksy/breadcrumbs,spacing.margin,true
blocksy/breadcrumbs,spacing.__experimentalDefaultControls.margin,true
blocksy/contact-info,html,false
blocksy/contact-info,inserter,false
blocksy/contact-info,lock,false
blocksy/contact-info,typography.fontSize,true
blocksy/dynamic-data,color.text,false
blocksy/dynamic-data,color.background,false
blocksy/dynamic-data,color.__experimentalSkipSerialization,"[""link"", ""heading"", ""button"", ""gradients""]"
blocksy/dynamic-data,className,false
blocksy/dynamic-data,spacing.margin,true
blocksy/dynamic-data,spacing.padding,true
blocksy/dynamic-data,spacing.__experimentalDefaultControls.margin,false
blocksy/dynamic-data,spacing.__experimentalDefaultControls.padding,false
blocksy/dynamic-data,__experimentalBorder.color,true
blocksy/dynamic-data,__experimentalBorder.radius,true
blocksy/dynamic-data,__experimentalBorder.width,true
blocksy/dynamic-data,__experimentalBorder.__experimentalDefaultControls.color,true
blocksy/dynamic-data,__experimentalBorder.__experimentalDefaultControls.radius,true
blocksy/dynamic-data,__experimentalBorder.__experimentalDefaultControls.width,true
blocksy/dynamic-data,__experimentalBorder.__experimentalSelector,"""img, .block-editor-media-placeholder, .wp-block-post-featured-image__overlay"""
blocksy/dynamic-data,__experimentalBorder.__experimentalSkipSerialization,true
blocksy/dynamic-data,typography.fontSize,true
blocksy/dynamic-data,typography.lineHeight,true
blocksy/dynamic-data,typography.__experimentalFontFamily,true
blocksy/dynamic-data,typography.__experimentalTextDecoration,true
blocksy/dynamic-data,typography.__experimentalFontStyle,true
blocksy/dynamic-data,typography.__experimentalFontWeight,true
blocksy/dynamic-data,typography.__experimentalLetterSpacing,true
blocksy/dynamic-data,typography.__experimentalTextTransform,true
blocksy/dynamic-data,typography.__experimentalDefaultControls.fontSize,true
blocksy/post-template,reusable,false
blocksy/post-template,html,false
blocksy/post-template,layout,false
blocksy/post-template,spacing.blockGap.__experimentalDefault,"""1.25em"""
blocksy/post-template,spacing.__experimentalDefaultControls.blockGap,true
blocksy/query,align,"[""wide"", ""full""]"
blocksy/query,html,false
blocksy/query,spacing.margin,true
blocksy/query,spacing.padding,true
blocksy/query,spacing.__experimentalDefaultControls.margin,false
blocksy/query,spacing.__experimentalDefaultControls.padding,false
blocksy/query,__experimentalBorder.color,true
blocksy/query,__experimentalBorder.radius,true
blocksy/query,__experimentalBorder.width,true
blocksy/query,__experimentalBorder.__experimentalDefaultControls.color,true
blocksy/query,__experimentalBorder.__experimentalDefaultControls.radius,true
blocksy/query,__experimentalBorder.__experimentalDefaultControls.width,true
blocksy/query,__experimentalBorder.__experimentalSelector,"""img, .block-editor-media-placeholder, .wp-block-post-featured-image__overlay"""
blocksy/query,__experimentalBorder.__experimentalSkipSerialization,true
blocksy/query,color.gradients,true
blocksy/query,color.link,false
blocksy/query,color.__experimentalDefaultControls.text,false
blocksy/query,color.__experimentalDefaultControls.background,true
blocksy/query,color.__experimentalDefaultControls.link,false
blocksy/search,spacing.margin,true
blocksy/search,spacing.__experimentalDefaultControls.margin,true
blocksy/search,__experimentalBorder.color,false
blocksy/search,__experimentalBorder.radius,true
blocksy/search,__experimentalBorder.width,false
blocksy/search,__experimentalBorder.__experimentalSkipSerialization,true
blocksy/search,__experimentalBorder.__experimentalDefaultControls.color,false
blocksy/search,__experimentalBorder.__experimentalDefaultControls.radius,true
blocksy/search,__experimentalBorder.__experimentalDefaultControls.width,false
blocksy/share-box,html,false
blocksy/share-box,inserter,false
blocksy/share-box,lock,false
blocksy/socials,html,false
blocksy/socials,inserter,false
blocksy/socials,lock,false
blocksy/tax-query,align,"[""wide"", ""full""]"
blocksy/tax-query,html,false
blocksy/tax-query,spacing.margin,true
blocksy/tax-query,spacing.padding,true
blocksy/tax-query,spacing.__experimentalDefaultControls.margin,false
blocksy/tax-query,spacing.__experimentalDefaultControls.padding,false
blocksy/tax-query,__experimentalBorder.color,true
blocksy/tax-query,__experimentalBorder.radius,true
blocksy/tax-query,__experimentalBorder.width,true
blocksy/tax-query,__experimentalBorder.__experimentalDefaultControls.color,true
blocksy/tax-query,__experimentalBorder.__experimentalDefaultControls.radius,true
blocksy/tax-query,__experimentalBorder.__experimentalDefaultControls.width,true
blocksy/tax-query,__experimentalBorder.__experimentalSelector,"""img, .block-editor-media-placeholder, .wp-block-post-featured-image__overlay"""
blocksy/tax-query,__experimentalBorder.__experimentalSkipSerialization,true
blocksy/tax-query,color.gradients,true
blocksy/tax-query,color.link,false
blocksy/tax-query,color.__experimentalDefaultControls.text,false
blocksy/tax-query,color.__experimentalDefaultControls.background,true
blocksy/tax-query,color.__experimentalDefaultControls.link,false
blocksy/tax-template,reusable,false
blocksy/tax-template,html,false
blocksy/tax-template,layout,false
blocksy/tax-template,spacing.blockGap.__experimentalDefault,"""1.25em"""
blocksy/tax-template,spacing.__experimentalDefaultControls.blockGap,true
blocksy/widgets-wrapper,className,false
blocksy/widgets-wrapper,spacing.margin,true
blocksy/widgets-wrapper,spacing.__experimentalDefaultControls.margin,true
core/accordion,anchor,true
core/accordion,html,false
core/accordion,align,"[""wide"", ""full""]"
core/accordion,background.backgroundImage,true
core/accordion,background.backgroundSize,true
core/accordion,background.gradient,true
core/accordion,background.__experimentalDefaultControls.backgroundImage,true
core/accordion,color.background,true
core/accordion,color.gradients,true
core/accordion,__experimentalBorder.color,true
core/accordion,__experimentalBorder.radius,true
core/accordion,__experimentalBorder.style,true
core/accordion,__experimentalBorder.width,true
core/accordion,__experimentalBorder.__experimentalDefaultControls.color,true
core/accordion,__experimentalBorder.__experimentalDefaultControls.radius,true
core/accordion,__experimentalBorder.__experimentalDefaultControls.style,true
core/accordion,__experimentalBorder.__experimentalDefaultControls.width,true
core/accordion,spacing.padding,true
core/accordion,spacing.margin,"[""top"", ""bottom""]"
core/accordion,spacing.blockGap,true
core/accordion,shadow,true
core/accordion,layout,true
core/accordion,ariaLabel,true
core/accordion,interactivity,true
core/accordion,typography.fontSize,true
core/accordion,typography.lineHeight,true
core/accordion,typography.__experimentalFontFamily,true
core/accordion,typography.__experimentalFontWeight,true
core/accordion,typography.__experimentalFontStyle,true
core/accordion,typography.__experimentalTextTransform,true
core/accordion,typography.__experimentalTextDecoration,true
core/accordion,typography.__experimentalLetterSpacing,true
core/accordion,typography.__experimentalDefaultControls.fontSize,true
core/accordion,contentRole,true
core/accordion,listView,true
core/accordion-heading,anchor,true
core/accordion-heading,color.background,true
core/accordion-heading,color.gradients,true
core/accordion-heading,align,false
core/accordion-heading,interactivity,true
core/accordion-heading,spacing.padding,true
core/accordion-heading,spacing.__experimentalDefaultControls.padding,true
core/accordion-heading,spacing.__experimentalSkipSerialization,true
core/accordion-heading,spacing.__experimentalSelector,""".wp-block-accordion-heading__toggle"""
core/accordion-heading,__experimentalBorder.color,true
core/accordion-heading,__experimentalBorder.radius,true
core/accordion-heading,__experimentalBorder.style,true
core/accordion-heading,__experimentalBorder.width,true
core/accordion-heading,__experimentalBorder.__experimentalDefaultControls.color,true
core/accordion-heading,__experimentalBorder.__experimentalDefaultControls.radius,true
core/accordion-heading,__experimentalBorder.__experimentalDefaultControls.style,true
core/accordion-heading,__experimentalBorder.__experimentalDefaultControls.width,true
core/accordion-heading,typography.__experimentalSkipSerialization,"[""textDecoration"", ""letterSpacing""]"
core/accordion-heading,typography.fontSize,true
core/accordion-heading,typography.__experimentalFontFamily,true
core/accordion-heading,typography.__experimentalFontWeight,true
core/accordion-heading,typography.__experimentalFontStyle,true
core/accordion-heading,typography.__experimentalTextTransform,true
core/accordion-heading,typography.__experimentalTextDecoration,true
core/accordion-heading,typography.__experimentalLetterSpacing,true
core/accordion-heading,typography.__experimentalDefaultControls.fontSize,true
core/accordion-heading,typography.__experimentalDefaultControls.fontFamily,true
core/accordion-heading,shadow,true
core/accordion-heading,visibility,false
core/accordion-heading,lock,false
core/accordion-item,html,false
core/accordion-item,color.background,true
core/accordion-item,color.gradients,true
core/accordion-item,interactivity,true
core/accordion-item,spacing.margin,"[""top"", ""bottom""]"
core/accordion-item,spacing.padding,true
core/accordion-item,spacing.blockGap,true
core/accordion-item,__experimentalBorder.color,true
core/accordion-item,__experimentalBorder.radius,true
core/accordion-item,__experimentalBorder.style,true
core/accordion-item,__experimentalBorder.width,true
core/accordion-item,__experimentalBorder.__experimentalDefaultControls.color,true
core/accordion-item,__experimentalBorder.__experimentalDefaultControls.radius,true
core/accordion-item,__experimentalBorder.__experimentalDefaultControls.style,true
core/accordion-item,__experimentalBorder.__experimentalDefaultControls.width,true
core/accordion-item,shadow,true
core/accordion-item,layout.allowEditing,false
core/accordion-item,typography.fontSize,true
core/accordion-item,typography.lineHeight,true
core/accordion-item,typography.__experimentalFontFamily,true
core/accordion-item,typography.__experimentalFontWeight,true
core/accordion-item,typography.__experimentalFontStyle,true
core/accordion-item,typography.__experimentalTextTransform,true
core/accordion-item,typography.__experimentalTextDecoration,true
core/accordion-item,typography.__experimentalLetterSpacing,true
core/accordion-item,typography.__experimentalDefaultControls.fontSize,true
core/accordion-item,contentRole,true
core/accordion-panel,html,false
core/accordion-panel,color.background,true
core/accordion-panel,color.gradients,true
core/accordion-panel,interactivity,true
core/accordion-panel,spacing.padding,true
core/accordion-panel,spacing.blockGap,true
core/accordion-panel,spacing.__experimentalDefaultControls.padding,true
core/accordion-panel,spacing.__experimentalDefaultControls.blockGap,true
core/accordion-panel,__experimentalBorder.color,true
core/accordion-panel,__experimentalBorder.radius,true
core/accordion-panel,__experimentalBorder.style,true
core/accordion-panel,__experimentalBorder.width,true
core/accordion-panel,__experimentalBorder.__experimentalDefaultControls.color,true
core/accordion-panel,__experimentalBorder.__experimentalDefaultControls.radius,true
core/accordion-panel,__experimentalBorder.__experimentalDefaultControls.style,true
core/accordion-panel,__experimentalBorder.__experimentalDefaultControls.width,true
core/accordion-panel,typography.fontSize,true
core/accordion-panel,typography.lineHeight,true
core/accordion-panel,typography.__experimentalFontFamily,true
core/accordion-panel,typography.__experimentalFontWeight,true
core/accordion-panel,typography.__experimentalFontStyle,true
core/accordion-panel,typography.__experimentalTextTransform,true
core/accordion-panel,typography.__experimentalTextDecoration,true
core/accordion-panel,typography.__experimentalLetterSpacing,true
core/accordion-panel,typography.__experimentalDefaultControls.fontSize,true
core/accordion-panel,shadow,true
core/accordion-panel,layout.allowEditing,false
